date,personal_income,60620,60602
2018-01-01,6093,20778.0,138892.0
2019-01-01,6302,21389.0,146302.0
2020-01-01,6647,22003.0,150092.0
2021-01-01,7199,22465.0,158341.0
2022-01-01,7802,24650.0,160532.0
2023-01-01,8133,26557.0,168423.0
